Alliance - 辛迪加 - 2024_0717_1855
物品ID	最低价格	平均价格	拍卖数量	物品数量	数据更新时间
14484	3999998	3999998	2	2	1721213707
14971	9999900	9999900	6	6	1721213707
8113	289799998	289799998	3	3	1721213708
41535	10200	10225	24	24	1721213707
11204	352475	352475	2	2	1721213708
19441	6070	6070	5	7	1721213707
4377	7694	7695	17	151	1721213707
3480	5195	6934	35	35	1721213708
41164	74	93	124	124000	1721213708
3417	9989999	9989999	1	1	1721213707
24170	1500048	1500048	3	3	1721213707
6381	10000	10000	4	4	1721213707
2084	39999	39999	2	2	1721213707
2870	249913	249913	1	1	1721213707
31501	152997	153327	20	20	1721213707
42739	29990	29990	10	10	1721213707
45781	27038	27041	52	52	1721213707
39998	479991	479993	60	60	1721213707
43864	418760	418760	1	1	1721213707
14727	11700	11700	1	1	1721213707
24246	8821	8821	6	32	1721213707
24830	99900	99900	2	2	1721213708
45769	30582	30585	23	24	1721213707
39974	29799	29942	24	24	1721213707
24401	3731	3990	33	795	1721213707
8390	89998	89998	4	4	1721213707
39310	500000	504997	12	12	1721213707
13479	457872	457872	3	3	1721213707
42996	19685	19686	25	411	1721213708
40914	40217	40217	16	16	1721213707
43537	44989	98021	17	17	1721213707
4236	49997	49997	6	104	1721213707
31197	793330	793330	2	2	1721213707
3182	10870	10870	1	1	1721213707
31220	8880000	8880000	1	1	1721213707
40085	44999	46329	21	21	1721213707
20907	8075	9228	39	36	1721213707
41808	1268	1395	278	5125	1721213708
19234	149925	149925	5	6	1721213707
36158	250000	250000	1	1	1721213707
36262	120000	120000	2	2	1721213707
10634	608887	608887	2	2	1721213707
36901	5299	7173	278	5189	1721213707
37673	1072499	1079054	21	21	1721213707
14859	29989998	29989998	3	3	1721213707
41352	678900	678900	1	1	1721213707
18232	199899	199899	16	41	1721213707
8402	23092	23092	4	4	1721213707
7933	750000	750000	1	1	1721213707
41809	8550	9997	39	497	1721213707
42500	249997	249997	7	7	1721213707
20861	9990000	9990000	2	335	1721213708
36933	50000	55415	115	229	1721213707
41395	217995	218663	21	21	1721213707
44456	96350	96443	39	39	1721213707
24751	230000	230000	1	1	1721213707
21844	49996	49996	3	25	1721213707
43415	30963	30966	23	23	1721213708
38910	800000	800000	4	4	1721213707
9893	72688	72688	1	1	1721213707
15770	199996	199996	4	4	1721213707
24610	52800	52800	3	3	1721213708
31277	201526	201526	1	1	1721213707
24933	190000	190000	1	1	1721213707
44278	152300	152300	4	4	1721213707
20820	12382	12384	18	18	1721213707
6275	500450	500450	3	3	1721213707
8495	2999998	2999998	3	3	1721213708
19259	558121	558121	4	4	1721213708
13041	660161	660161	1	1	1721213707
29550	92489	92489	9	9	1721213707
25293	110000	110000	1	1	1721213707
4566	0	0	1	0	1721213707
40920	43070	43072	16	16	1721213707
9774	30000	30000	1	1	1721213708
8318	7330000	7330000	1	1	1721213708
39996	469946	469965	116	116	1721213707
18362	99999	99999	2	2	1721213707
9897	56578	56578	1	1	1721213707
9420	12009186	12009186	2	2	1721213707
4603	3246	3248	29	423	1721213707
41540	10200	10216	40	45	1721213707
17037	234948	234948	3	39	1721213707
31246	100000	100000	1	1	1721213707
8838	3630	3634	34	598	1721213707
13458	3980	3985	4	25	1721213707
871	5006553	5006553	4	4	1721213707
13940	219999	219999	6	6	1721213707
10503	41600	41600	15	15	1721213707
15232	23752	23752	2	2	1721213707
41599	600023	603647	92	92	1721213707
38438	999999	999999	1	1	1721213707
12204	10000	10000	1	1	1721213707
35966	96504	96504	2	2	1721213707
43355	45000	45000	11	11	1721213708
7286	39	39	6	25	1721213707
15772	3999999	3999999	1	1	1721213707
45758	44979	44979	36	36	1721213707
2840	7999	9302	470	7157	1721213707
12958	259919	259919	7	7	1721213707
20758	1339918	1339918	6	6	1721213708
36218	52200	52200	1	1	1721213707
10713	50000	50000	5	5	1721213707
10507	20015	20015	48	397	1721213708
41447	169798	169798	4	4	1721213707
38866	60000	60000	10	10	1721213709
9781	22200	22200	1	1	1721213707
38868	1999498	1999498	3	3	1721213708
36275	0	0	1	0	1721213707
14805	9990000	9990000	4	4	1721213707
24217	5990000	5990000	1	1	1721213707
16864	5107591	5107591	1	1	1721213707
14219	20000	20000	1	1	1721213707
5108	4999	4999	2	2	1721213707
36020	200000	200000	1	1	1721213707
11325	337	337	2	13	1721213707
23783	112269	112269	19	49	1721213707
35666	4407993	4407993	2	2	1721213707
32833	0	0	1	0	1721213707
24966	650000	650000	1	1	1721213707
11202	92474	92474	2	2	1721213707
43391	45000	393528	43	81	1721213708
43435	1999999	1999999	1	1	1721213707
36147	0	0	1	0	1721213708
25699	10196	10196	10	85	1721213707
12008	42013	42013	1	1	1721213707
18487	2615895	2615895	2	2	1721213707
36863	145550150	145550150	4	4	1721213707
43534	44965	44966	15	15	1721213707
31913	479999	479999	3	4	1721213707
36276	111987	111987	4	4	1721213707
38373	1484998	1484998	38	38	1721213707
12055	60000	60000	1	1	1721213707
36397	250000	250000	1	1	1721213707
809	9990000	9990000	1	1	1721213707
40105	99998	99999	8	8	1721213707
41348	679723	679723	4	4	1721213707
37746	398613	398613	3	3	1721213707
11371	99996	99996	3	58	1721213707
2324	39569	39569	15	128	1721213707
25719	6953	10000	5	144	1721213707
9792	14115	14115	2	2	1721213707
23631	1000000	1000000	1	1	1721213707
36417	90000	90000	3	3	1721213707
13075	238180	238180	2	2	1721213707
3199	9999	9999	3	3	1721213707
40558	27506400	27753200	8	8	1721213707
24165	4999999	4999999	1	1	1721213707
15996	769997	769997	6	6	1721213707
6037	19014	19473	35	473	1721213707
16252	3209999	3209999	6	6	1721213707
13307	1099993	1099993	2	2	1721213707
25886	9999	9999	1	20	1721213707
22577	1296	1393	82	402	1721213707
14166	89989998	89989998	2	2	1721213707
38328	2000000	2000000	3	3	1721213707
40003	479998	491160	42	42	1721213708
31910	886245	886245	1	1	1721213707
24220	5990000	5990000	1	1	1721213707
44669	282636	282636	3	3	1721213707
36281	67000	67000	5	5	1721213707
6889	11547	12420	30	281	1721213707
34758	70000	70000	1	9	1721213707
42178	888887	888887	2	2	1721213707
12037	2875	4398	42	317	1721213707
42414	44903	44903	10	10	1721213707
9787	10800	10800	1	1	1721213707
12994	200000	200000	1	1	1721213707
4338	7560	8998	116	2179	1721213708
4576	9999	9999	3	3	1721213707
12365	1148	1765	444	8336	1721213707
8827	3998	4090	28	357	1721213707
10513	9	9	9	7427	1721213707
17021	159950	159950	2	25	1721213707
31210	6980000	6980000	1	1	1721213707
16676	470141	470141	1	1	1721213707
41394	9993297	9993297	1	1	1721213707
21886	37995	40627	95	248	1721213707
7989	1310024	1310024	10	10	1721213707
3830	1979999	1979999	5	5	1721213707
36782	996	1089	53	423	1721213707
44936	2989987	2989990	20	20	1721213707
14177	38819	38819	1	1	1721213708
2675	114446	124083	20	68	1721213707
10130	99989999	99989999	1	1	1721213707
16713	1000000	1000000	3	3	1721213707
43265	179999	179999	10	10	1721213707
19262	929996	929996	8	8	1721213707
37290	319996	319997	15	15	1721213707
13465	3988	3989	20	283	1721213707
23592	965474	965474	2	2	1721213707
36267	150300	150300	3	3	1721213707
39961	119848	119848	26	26	1721213707
18657	19980000	19980000	1	1	1721213707
2164	1999999	1999999	2	2	1721213707
4998	21000	21000	2	2	1721213707
15229	60000	60000	1	1	1721213707
14097	10531	10531	3	3	1721213707
22146	188900	192959	11	11	1721213707
3045	99999	99999	1	1	1721213707
935	377984	377984	1	1	1721213707
18562	550000	550000	5	18	1721213707
21991	6749	6749	5	88	1721213707
38404	137499	137499	2	2	1721213707
40059	449999	489992	37	37	1721213707
31152	113291	113291	2	2	1721213707
9036	9999	9999	2	25	1721213707
34055	178598	178894	433	1363	1721213707
17026	20447	20447	12	151	1721213708
6533	11946	11946	17	294	1721213707
13062	499999	499999	2	2	1721213707
23984	1999	1999	1	39	1721213707
36068	250600	250600	1	1	1721213707
15284	56837	56837	3	3	1721213707
31158	150712	150712	3	3	1721213707
24477	166	208	32	461	1721213707
37795	543797	543797	4	4	1721213707
7067	29899	34142	82	607	1721213707
42400	29994	29995	20	20	1721213707
2678	137507	139037	13	195	1721213707
14496	99993	99993	3	3	1721213707
6596	55000	55000	2	2	1721213707
21887	9598	9859	25	339	1721213707
9860	50000	50000	1	1	1721213708
4570	10000	10000	2	1	1721213707
13129	1308690	1308690	3	3	1721213707
13084	1054800	1054800	1	1	1721213707
39933	9998	9998	1	1	1721213707
4096	2999	2999	5	24	1721213707
49227	3989997	3989997	1	1	1721213707
7419	19900	19900	2	2	1721213707
43420	7997	8952	31	31	1721213707
23554	2560010	2560010	1	1	1721213707
44275	17399998	17399998	2	2	1721213707
37749	456945	456945	5	5	1721213707
204385	33322	33322	30	30	1721213707
41454	112500	112500	1	1	1721213707
6260	49554	49554	20	188	1721213707
10998	18997	88006	10	50	1721213707
9917	50000	50000	2	2	1721213707
6271	4997	4997	3	3	1721213707
9429	29988888	29988888	1	1	1721213707
11969	13800	13800	2	2	1721213707
5789	1679999	1679999	4	4	1721213707
6197	22000	22000	1	1	1721213707
2835	288	360	358	6847	1721213707
7370	12277	12277	1	1	1721213707
12837	305000	305000	1	1	1721213709
19257	3682500	3682500	2	2	1721213707
31878	889997	889997	2	2	1721213707
25315	100000	100000	1	1	1721213707
31185	8880000	8880000	1	1	1721213707
43428	28819	28821	82	83	1721213707
22926	789998	789998	1	1	1721213708
4063	99999	99999	1	1	1721213707
41500	192500	192500	4	4	1721213707
36371	999999	999999	1	1	1721213707
4434	10000	10000	1	1	1721213707
11610	26749	26749	13	13	1721213707
12828	20000	20000	4	4	1721213707
37755	183173	183173	7	7	1721213708
38835	350000	350000	1	1	1721213707
8287	30000	30000	1	1	1721213707
27664	4335	4335	18	322	1721213707
46377	99996	100888	133	607	1721213707
14047	938	938	211	3361	1721213707
1720	498899	498899	2	2	1721213707
39905	80390	80390	9	9	1721213707
43117	3000	3000	11	144	1721213708
4042	89998	89998	3	3	1721213707
3645	23000	23000	2	2	1721213707
6735	9990000	9990000	1	1	1721213707
41492	38800	38800	3	3	1721213707
39354	48046	48046	13	189	1721213707
4461	1683	4066	25	194	1721213707
24995	114120	114120	1	1	1721213707
15357	16000	16000	1	1	1721213707
14799	9990000	9990000	3	3	1721213707
1917	100564	100564	1	1	1721213707
48120	4999999	4999999	1	1	1721213707
5963	299989	299989	6	6	1721213709
23793	45200	65065	3	31	1721213707
39967	46999	46999	8	8	1721213707
38422	336100	336100	2	2	1721213707
24582	190000	190000	1	1	1721213707
31671	159865	159865	3	6	1721213708
42965	205927	205927	7	7	1721213707
1207	60000	60000	2	2	1721213707
15093	158828	158828	1	1	1721213707
21219	2798	2798	7	7	1721213707
44312	5660496	5730496	9	9	1721213707
9973	29900	29900	1	1	1721213707
36208	110000	110000	1	1	1721213707
16244	5990000	5990000	1	1	1721213707
5635	149	149	22	59	1721213707
22459	10046	10046	8	8	1721213707
24198	3597095	3597095	2	2	1721213709
11178	177947	177948	26	26	1721213707
40212	60394	60396	85	1379	1721213707
20881	1999995	1999995	12	15	1721213707
31907	4800000	4800000	1	1	1721213707
44681	1440000	1440000	3	3	1721213709
24211	5990000	5990000	1	1	1721213707
43397	45000	45000	13	13	1721213708
5996	20210	20210	3	20	1721213707
23848	31124	31124	24	33	1721213707
41498	179599	179599	4	4	1721213707
42725	499994	499994	9	9	1721213707
24812	150000	150000	1	1	1721213707
43351	44997	44998	9	9	1721213707
10235	80000	80000	1	1	1721213707
36416	102200	102200	2	2	1721213707
37794	285447	285447	3	3	1721213707
8254	8889440	8889440	1	1	1721213707
37093	949	981	13	66	1721213707
4246	10467	10467	8	8	1721213707
10127	99989998	99989998	2	2	1721213707
45737	29994	29994	18	18	1721213707
25744	9999	9999	2	11	1721213707
43007	8800	12663	95	7269	1721213707
40913	28499	28499	15	34	1721213707
40049	197998	198329	30	30	1721213707
4255	1000000	1000000	1	1	1721213707
43260	1999999	1999999	1	1	1721213707
4592	149	149	2	5	1721213707
28282	460000	460000	5	5	1721213707
4342	189878	189878	6	55	1721213707
4072	48888	48888	2	2	1721213709
36052	146833	146833	1	1	1721213707
25308	130000	130000	1	1	1721213707
2204	18000	18000	1	1	1721213707
38896	2650000	2650000	3	3	1721213707
11167	500000	500000	1	1	1721213707
1288	10397	10398	14	38	1721213707
36378	110000	110000	2	2	1721213708
867	2452024	2452024	3	3	1721213707
12431	28024	28024	2	5	1721213707
2701	30900	30900	4	4	1721213707
12810	18820	18820	14	33	1721213707
23819	100000	100000	4	40	1721213707
4569	10000	10000	4	4	1721213707
36053	102800	102800	3	3	1721213707
1716	999900	999900	2	2	1721213707
29363	5004999	5004999	1	1	1721213707
37744	152594	152594	5	5	1721213707
20859	10149	10149	4	382	1721213707
10394	4999999	4999999	1	1	1721213707
41257	19989944	19989944	6	6	1721213707
5528	2888888	2888888	1	1	1721213707
6574	70000	70000	1	1	1721213707
37747	4561974	4561974	3	3	1721213707
24245	1500	1824	3	18	1721213707
18640	25	25	2	5	1721213707
10290	179999	179999	3	25	1721213707
28363	340149	340149	12	12	1721213707
22527	443	1346	41	813	1721213707
15287	20000	20000	2	2	1721213707
41184	999996	999996	1	1	1721213708
44289	179709	179709	4	4	1721213707
6581	1999999	1999999	1	1	1721213707
41243	893800	893800	1	1	1721213707
44922	44996	44997	19	19	1721213707
19183	5996	5996	3	40	1721213707
40047	167999	168339	19	19	1721213707
6614	15600	15600	2	2	1721213707
40072	5894	5895	21	112	1721213707
43412	40217	40219	13	15	1721213707
31174	6980000	6980000	1	1	1721213707
38858	2999999	2999999	1	1	1721213707
40199	8850	11129	159	2215	1721213707
4291	12603	12603	20	268	1721213707
28056	5	5	11	11000	1721213707
25653	1681583	1681583	1	1	1721213707
