C:\Users\15291\Desktop\ShowMeTheGold\GoldMiner\Data\Alliance - 辛迪加 - 2024_0719_0832
物品ID	最低价格	平均价格	拍卖数量	物品数量	数据更新时间
14484	399000	399000	5	5	1721349128
42643	4000000	4000000	1	1	1721349129
8113	28979998	28979998	1	1	1721349128
41535	8996	8996	13	19	1721349128
6562	11143	11143	1	1	1721349128
11204	90073	90073	5	5	1721349128
19441	4990	4990	6	9	1721349128
4377	45516	45517	31	402	1721349128
3480	40194	40194	12	12	1721349128
24307	807500	807500	1	1	1721349128
41164	97	99	257	257000	1721349130
3417	9989999	9989999	1	1	1721349128
24170	300048	300048	1	1	1721349128
3231	110000	110000	1	1	1721349128
2728	10843	10843	2	2	1721349128
18634	500000	500000	1	1	1721349128
2585	177777	177777	2	2	1721349128
42739	54993	54997	24	24	1721349128
45781	54999	54999	14	14	1721349128
33092	11248	11248	2	8	1721349128
39998	497498	497588	116	116	1721349128
43864	417089	417089	3	3	1721349128
14727	15000	15000	1	1	1721349128
24246	596	705	18	203	1721349128
22728	500049	500049	2	2	1721349128
45769	30581	30581	7	7	1721349128
39974	22050	22050	7	7	1721349128
24401	1096	1097	20	630	1721349128
1933	169998	169998	2	2	1721349128
8390	52798	52798	3	3	1721349128
39310	459500	459749	8	8	1721349128
13479	199999	199999	2	2	1721349128
40914	40150	40151	13	17	1721349128
43537	44969	44973	16	17	1721349128
44269	9002500	9002500	1	1	1721349128
4236	49995	49995	1	2	1721349128
31197	793330	793330	2	2	1721349128
3182	10473	10474	17	22	1721349128
31220	8880000	8880000	1	1	1721349128
40085	84000	85519	44	44	1721349130
14131	31861	31861	1	1	1721349130
7552	55700	55700	3	3	1721349130
36262	117542	117542	3	3	1721349128
10634	19988888	19988888	1	1	1721349128
36901	8025	8092	583	10920	1721349128
37673	242500	412499	10	10	1721349128
14859	29989997	29989997	1	1	1721349128
41352	658900	658900	2	2	1721349128
18232	182500	187670	84	241	1721349128
8124	50000	50000	1	1	1721349128
8402	49999	49999	2	2	1721349128
8304	100000	100000	1	1	1721349128
15305	11000	11000	1	1	1721349128
41809	4015	4603	66	803	1721349128
20861	9990000	9990000	2	335	1721349130
36933	44990	49824	69	156	1721349128
41395	199999	200000	20	20	1721349128
44456	100149	123248	64	64	1721349128
24751	150000	150000	1	1	1721349128
25104	336959	336959	1	1	1721349128
11027	4999999	4999999	1	1	1721349128
43415	30950	30953	20	20	1721349128
38910	799998	799998	6	6	1721349128
24603	490000	490000	1	1	1721349128
15770	199996	199996	1	1	1721349128
40903	23518	23518	57	57	1721349130
31277	232750	232750	1	1	1721349128
24933	490000	490000	2	2	1721349128
20820	12300	12300	11	11	1721349128
6275	500450	500450	5	5	1721349128
4399	49869	49869	16	123	1721349128
3612	20000	20000	2	2	1721349128
13041	440161	440161	2	2	1721349128
29550	79998	79998	6	6	1721349128
40920	43061	43062	9	9	1721349128
9774	10000	10000	1	1	1721349128
15573	23140	23140	1	1	1721349128
39996	519997	519997	16	16	1721349128
9301	299995	299995	4	4	1721349128
9420	19988888	19988888	1	1	1721349128
41182	1441800	1441800	5	5	1721349128
2449	147	194	74	1021	1721349130
41540	7723	7723	14	28	1721349130
41491	152499	152499	1	1	1721349128
17037	234946	234946	4	42	1721349128
2633	29999	29999	1	3	1721349128
8838	3339	3340	23	340	1721349128
13458	3979	3979	3	30	1721349128
871	5006441	5006441	4	4	1721349128
42462	8494	8495	30	33	1721349128
11989	99999	99999	1	1	1721349128
7561	4989999	4989999	2	2	1721349128
41599	538125	539506	107	107	1721349128
38438	999999	999999	1	1	1721349128
12204	10000	10000	1	1	1721349128
35966	96504	96504	1	1	1721349128
18253	12222	12222	2	11	1721349128
7286	35	35	2	7	1721349128
23774	167500	167500	5	5	1721349128
15772	3999999	3999999	1	1	1721349128
31155	6980000	6980000	1	1	1721349130
13109	408342	408342	1	1	1721349128
2840	9427	9586	464	6995	1721349128
12958	119997	119997	6	6	1721349128
5573	0	0	1	0	1721349130
41458	150200	150200	4	4	1721349128
31172	8880000	8880000	1	1	1721349128
10713	41124	41124	3	3	1721349128
10507	19036	19036	39	210	1721349128
41447	161900	161950	8	8	1721349128
15226	30000	30000	1	1	1721349130
9781	6000	6000	2	2	1721349128
2458	479	479	4	77	1721349128
14805	9556199	9556199	3	3	1721349128
31196	59771	59771	2	2	1721349128
36476	150000	150000	1	1	1721349128
8217	200000	200000	6	6	1721349128
23783	89995	91844	35	364	1721349128
35666	4464549	4464549	1	1	1721349128
11986	20000	20000	1	1	1721349128
36097	140000	140000	1	1	1721349128
11202	349999	349999	6	6	1721349128
43391	54999	54999	18	18	1721349130
43435	1999999	1999999	1	1	1721349128
4709	19999	19999	1	1	1721349130
25699	2800	4898	9	38	1721349128
41388	9999965	9999965	2	2	1721349128
18487	2528957	2528957	3	3	1721349128
36863	145550150	145550150	1	1	1721349128
43534	44954	44957	16	16	1721349128
17203	2550000	2550000	1	1	1721349128
36100	60000	60000	1	1	1721349128
36276	111987	111987	4	4	1721349128
38373	1908799	1909005	56	56	1721349128
12055	33500	33500	1	1	1721349128
809	4770000	4770000	2	2	1721349128
5009	19999	19999	1	1	1721349128
41348	659722	659722	4	4	1721349128
37746	89999	89999	4	4	1721349128
10236	5000000	5000000	1	1	1721349128
11371	54998	54998	2	6	1721349128
31670	1895	1896	9	163	1721349128
24726	880000	880000	1	1	1721349128
12014	50000	50000	1	1	1721349130
9792	10000	10000	2	2	1721349128
23631	980000	980000	2	2	1721349128
15515	8800	8800	1	1	1721349129
13075	1988888	1988888	1	1	1721349128
3199	9500	9500	5	5	1721349128
40558	20490899	20660599	11	11	1721349128
24165	3999997	3999997	2	2	1721349128
9433	880000	880000	1	1	1721349128
14419	29900	29900	1	1	1721349128
6037	28749	51977	33	281	1721349128
16252	2986875	2986875	3	3	1721349128
13307	999989	999989	2	2	1721349128
22577	519	549	85	435	1721349128
14166	89989999	89989999	2	2	1721349128
38328	999999	999999	3	3	1721349128
31173	141100	141100	1	1	1721349128
24220	887500	887500	3	3	1721349128
42724	1990000	1990000	1	1	1721349128
44669	8450000	8450000	2	2	1721349128
36281	117000	117000	3	3	1721349128
6889	7550	9998	63	312	1721349128
14784	669999	669999	1	1	1721349128
42414	54996	54997	28	28	1721349128
24685	790000	790000	1	1	1721349128
12994	1231663	1231663	1	1	1721349128
44213	312045	312045	1	1	1721349130
21309	304986	304986	3	3	1721349128
12365	495	735	272	5276	1721349128
15261	90000	90000	1	1	1721349128
8827	1988	9501	16	236	1721349128
10513	6	6	4	3200	1721349128
17021	159897	159897	4	46	1721349128
31210	6980000	6980000	1	1	1721349128
10070	30000	30000	1	1	1721349128
16676	470141	470141	1	1	1721349128
41394	9993297	9993297	2	2	1721349128
42647	3500000	3500000	2	2	1721349128
21886	27279	27298	37	68	1721349128
7989	1265624	1265624	6	6	1721349128
3830	1331121	1331121	4	4	1721349128
31162	8880000	8880000	1	1	1721349130
15330	12200	12200	1	1	1721349129
45984	35987	35989	17	17	1721349128
2675	13037	14442	10	93	1721349128
10130	99989999	99989999	1	1	1721349128
16713	500000	500000	4	4	1721349128
25063	80000	80000	1	1	1721349128
19262	208123	208123	5	5	1721349128
37290	200200	200200	6	6	1721349128
2034	50000	50000	1	1	1721349128
13465	1989	1992	62	920	1721349128
23592	965446	965446	3	3	1721349128
36267	250000	250000	2	2	1721349128
39961	58800	59497	42	42	1721349128
18657	19980000	19980000	1	1	1721349128
2164	1889998	1889998	2	2	1721349128
20963	57025	74880	10	25	1721349128
15229	60000	60000	1	1	1721349128
14097	19931	19931	1	1	1721349128
22146	199883	199883	7	7	1721349128
3045	59998	59998	2	2	1721349128
25055	640853	640853	1	1	1721349128
18562	685000	685000	1	4	1721349128
21991	6149	6149	7	116	1721349128
38404	137500	137500	1	1	1721349128
40059	419900	419942	14	14	1721349128
42745	40475	40475	34	39	1721349128
23448	648080	650095	41	112	1721349128
17026	18799	19201	11	104	1721349130
6533	11790	11792	21	330	1721349128
36068	90600	90600	3	2	1721349128
15284	56836	56836	4	4	1721349128
5971	550000	550000	1	1	1721349128
18631	136750	136750	13	35	1721349128
24477	164	1910	16	198	1721349128
37795	493794	493794	4	4	1721349128
28104	49999	49999	1	3	1721349128
7067	19997	20342	27	136	1721349128
42400	54994	54997	19	19	1721349128
2678	137444	137444	14	215	1721349128
14496	52375	52375	4	4	1721349128
21887	17893	17893	25	412	1721349128
9797	5500	5500	1	1	1721349128
9860	50000	50000	1	1	1721349128
13129	2317448	2317448	2	2	1721349128
2594	20000	20000	1	1	1721349128
36631	156200	156200	1	1	1721349128
39933	39900	39900	6	6	1721349128
4096	2856	2856	9	43	1721349128
49227	2220000	2220000	2	2	1721349128
7419	19900	19900	1	1	1721349128
7366	30000	30000	1	1	1721349128
43420	7499	7941	10	11	1721349128
23113	14998	14998	9	9	1721349128
44275	16699997	16699997	7	7	1721349128
37749	439998	439998	4	4	1721349128
204385	54999	55048	48	48	1721349128
41454	82500	82500	1	1	1721349128
6260	49496	49496	20	188	1721349128
10998	6515	7015	53	253	1721349128
6271	9999	9999	2	2	1721349130
4539	999999	999999	1	1	1721349128
9429	10001781	10001781	2	2	1721349128
2970	8799	8799	1	1	1721349130
4828	11539	11539	1	1	1721349128
6197	22000	22000	1	1	1721349128
2835	240	240	217	4223	1721349128
7370	12277	12277	1	1	1721349128
12837	3330000	3330000	1	1	1721349128
31878	5989999	5989999	2	2	1721349128
25315	100000	100000	1	1	1721349128
9825	25298	25298	1	1	1721349128
7445	18235	18235	1	1	1721349128
14856	289989999	289989999	1	1	1721349128
13521	876600	876600	6	6	1721349130
4063	99999	99999	1	1	1721349128
41500	192500	192500	4	4	1721349128
3306	10000	10000	1	1	1721349128
37147	160197	160197	2	2	1721349128
13016	200000	200000	1	1	1721349128
4434	10000	10000	1	1	1721349128
11610	26738	26739	8	8	1721349128
38225	2200000	2200000	1	1	1721349129
12828	19974	19974	3	3	1721349128
4331	999999	999999	1	1	1721349128
23621	325092	325092	1	1	1721349128
27664	4330	4330	25	483	1721349128
46377	99719	99722	216	401	1721349128
9914	17000	17000	1	1	1721349128
14047	797	871	224	4056	1721349128
34535	11125625	11125625	3	3	1721349128
39905	39836	39837	81	81	1721349128
43117	2990	2990	32	142	1721349128
25211	220000	220000	1	1	1721349128
3645	30400	30400	1	1	1721349128
6735	9990000	9990000	1	1	1721349128
41492	32500	32500	2	2	1721349128
39354	13976	13976	12	166	1721349128
14208	59900	59900	1	1	1721349128
4461	1230	1642	21	136	1721349128
15357	10000	10000	3	3	1721349128
14799	9558942	9558942	3	3	1721349128
48120	991250	991250	1	1	1721349128
5963	299989	299989	6	6	1721349130
23793	30062	31747	9	96	1721349128
39967	39498	39498	14	14	1721349128
38422	336100	336100	2	2	1721349128
4071	50000	50000	2	2	1721349128
24582	490000	490000	1	1	1721349128
31671	6887	6887	39	290	1721349130
42965	200510	200510	13	13	1721349128
15093	158828	158828	1	1	1721349128
21219	2769	2769	6	6	1721349128
44312	4000500	4000500	5	5	1721349128
9973	29900	29900	1	1	1721349128
16244	5990000	5990000	1	1	1721349128
5635	20150	20150	4	8	1721349128
36346	75348	75348	2	2	1721349128
22459	85498	85498	11	11	1721349128
3372	40149	49938	16	199	1721349130
11178	68841	68846	112	202	1721349128
40212	67000	68224	27	478	1721349128
4563	10000	10000	1	1	1721349128
20881	1990092	1990092	10	14	1721349128
6346	4999999	4999999	1	1	1721349130
44681	1990000	1990000	1	1	1721349130
31187	883100	883100	1	1	1721349128
43397	55000	55000	15	15	1721349128
5996	20206	20206	3	28	1721349128
23848	39999	39999	7	7	1721349128
41498	129100	129100	3	3	1721349128
42725	459991	459991	12	12	1721349128
22866	50000	50000	2	22	1721349128
43351	54996	54997	12	12	1721349128
36416	500000	500000	1	1	1721349128
8110	222223	222223	1	1	1721349128
37794	209999	209999	6	6	1721349128
8254	8889440	8889440	1	1	1721349128
37093	915	916	18	225	1721349128
18042	100	100	1	400	1721349128
37813	220000	220000	1	1	1721349128
4246	4498	4498	35	35	1721349128
4410	510500	510500	1	1	1721349128
10127	99989999	99989999	1	1	1721349128
43854	20000	20000	1	9	1721349128
14374	21000	21000	1	1	1721349128
45737	54997	55000	19	19	1721349128
25744	9997	9999	4	206	1721349128
43007	8650	8784	80	5247	1721349128
40913	28493	28493	11	12	1721349128
40049	150048	150048	15	15	1721349128
9784	19900	19900	2	2	1721349128
4255	1000000	1000000	1	1	1721349128
4592	149	149	3	21	1721349128
28282	898800	898800	2	2	1721349128
