Alliance - 辛迪加_2024_0721_1643.txt
物品ID	最低价格	平均价格	拍卖数量	物品数量	数据更新时间
14484	1008999	1008999	1	1	1721551430
14971	19989998	19989998	5	5	1721551430
8113	289989998	289989998	2	2	1721551430
41535	28522	28523	33	36	1721551432
6562	19900	19900	1	1	1721551430
37856	398100	398100	4	4	1721551430
19441	3270	3270	4	5	1721551430
4377	19998	20330	24	273	1721551430
38873	450000	459994	30	30	1721551430
24307	207500	207500	1	1	1721551430
9845	30000	30000	1	1	1721551432
38769	70150	70150	1	1	1721551430
3417	9989999	9989999	1	1	1721551430
24170	2508744	2508744	5	5	1721551430
3231	110000	110000	1	1	1721551430
14505	25100	25100	1	1	1721551430
2728	8035	8035	8	11	1721551430
6381	11399	11399	2	2	1721551432
2084	40000	40000	1	1	1721551430
31501	108997	108997	6	6	1721551432
42739	54613	54615	21	21	1721551430
42101	6004549	6004549	6	6	1721551430
45781	54967	54973	45	45	1721551430
33092	11247	11247	6	86	1721551430
39998	479989	483195	48	48	1721551430
43864	407593	407593	2	2	1721551430
24246	4166	4591	63	816	1721551430
24830	290000	290000	1	1	1721551430
8300	300000	300000	1	1	1721551430
45769	54897	54929	23	23	1721551430
39974	8796	8796	9	9	1721551430
19277	2800000	2800000	1	1	1721551430
24401	891	892	23	425	1721551430
8390	399998	399998	2	2	1721551430
39310	647700	692698	18	18	1721551430
13479	199999	199999	4	4	1721551430
44649	493466	493466	8	8	1721551430
40914	26619	26619	33	37	1721551430
43537	41997	43475	23	23	1721551430
44269	18889994	18889994	2	2	1721551430
4236	49000	49997	9	106	1721551430
3182	10859	10859	11	23	1721551430
14117	10366	10366	2	2	1721551430
9875	20000	20000	1	1	1721551430
22644	366	366	14	70	1721551432
20907	10000	10000	35	35	1721551430
41808	145	147	23	283	1721551432
7552	34567	34567	2	2	1721551430
14161	10000	10000	1	1	1721551430
36262	100000	100000	2	2	1721551430
36901	6750	7561	472	8669	1721551430
37673	292500	336471	14	14	1721551430
14859	29989993	29989993	3	3	1721551430
16681	269373	269373	1	1	1721551430
18232	1669996	1669996	13	30	1721551430
8124	50000	50000	1	1	1721551430
8402	59995	59995	4	4	1721551430
7933	27800	27800	10	10	1721551430
41809	3994	4052	186	2732	1721551430
42500	309899	309899	6	6	1721551430
8343	29358	29358	19	265	1721551430
36933	45094	49578	105	200	1721551430
41395	259973	259974	13	13	1721551430
44456	105590	1984947	19	19	1721551430
24751	120000	120000	1	1	1721551430
25847	559994	559994	4	4	1721551432
11027	4999999	4999999	1	1	1721551432
43415	54980	54983	26	26	1721551430
38910	799991	799991	5	5	1721551430
4712	12763	12763	2	2	1721551430
9893	20000	20000	1	1	1721551430
24603	50000	50000	3	3	1721551430
15770	155074	155074	1	1	1721551430
40903	22987	22992	80	80	1721551430
31277	201527	201527	1	1	1721551430
13121	4007713	4007713	1	1	1721551430
24933	49900	49900	2	2	1721551430
