Alliance - 辛迪加_2024_0723_0846.txt 
物品ID	最低价格	平均价格	拍卖数量	物品数量	数据更新时间
14484	3999999	3999999	1	1	1721695578
14971	19989997	19989997	5	5	1721695580
43461	3300000	3300000	1	1	1721695578
41535	24416	24418	52	52	1721695578
6562	20000	20000	1	1	1721695578
11204	209998	209998	1	1	1721695580
19441	2988	2989	12	13	1721695578
4377	35001	36104	31	204	1721695578
38873	399998	399999	43	43	1721695578
44279	88997	88997	4	4	1721695580
24170	2508742	2508742	3	3	1721695578
3231	5000	5000	1	1	1721695578
2657	4999	4999	1	1	1721695578
14505	25100	25100	1	1	1721695578
2728	7900	7900	6	6	1721695578
6381	10001	10001	2	2	1721695580
31501	108998	108998	2	2	1721695578
42739	50091	50091	20	20	1721695578
42101	2004550	2004550	1	1	1721695578
45781	50183	50183	46	46	1721695578
33092	11247	11247	4	61	1721695578
35970	599999	599999	1	1	1721695578
39998	460088	460088	22	22	1721695578
43864	415629	415629	5	5	1721695578
10408	50000	50000	1	1	1721695578
24246	9900	9991	36	887	1721695578
22728	500048	500048	12	12	1721695578
2013	18800	18800	1	1	1721695578
45769	50187	50187	16	16	1721695578
39974	40000	40000	5	5	1721695578
14179	21680	21680	1	1	1721695578
24401	862	863	22	381	1721695578
1933	166666	166666	1	1	1721695578
8390	399992	399992	3	3	1721695578
39310	407689	431690	18	18	1721695578
13479	2000000	2000000	1	1	1721695578
42996	19994	19997	10	168	1721695578
40914	18818	18821	68	68	1721695578
43537	41966	41968	17	17	1721695578
44269	10999995	10999995	13	13	1721695578
4236	39996	39997	14	113	1721695578
31197	790141	790141	1	1	1721695578
9875	20000	20000	2	2	1721695578
40085	48045	48047	15	15	1721695580
20907	9995	9995	67	67	1721695578
34750	4239	4239	14	237	1721695578
19234	29992	29992	4	5	1721695578
36158	110000	110000	2	2	1721695578
36262	157542	157542	2	2	1721695578
36901	8970	8979	386	7073	1721695580
37673	280000	284442	9	9	1721695580
14859	29989991	29989991	3	3	1721695578
16681	219373	219373	4	4	1721695578
18232	339960	339960	44	124	1721695578
8124	50000	50000	1	1	1721695578
8402	3999999	3999999	1	1	1721695578
7933	27800	27800	8	8	1721695578
41809	4200	4605	67	1050	1721695578
42500	160000	167500	14	14	1721695580
8343	47966	47966	28	257	1721695580
36933	48990	48994	40	108	1721695578
41395	258994	258994	13	13	1721695578
44456	145948	145949	86	90	1721695578
3824	49999	49999	3	12	1721695580
9876	17000	17000	1	1	1721695578
43415	50147	50147	26	26	1721695578
38910	799991	799991	1	1	1721695578
4712	12763	12763	2	2	1721695578
15770	155071	155071	1	1	1721695578
8755	55500	55500	1	1	1721695578
24610	290000	290000	2	2	1721695580
24933	290000	290000	2	2	1721695578
44278	109988	109988	3	3	1721695578
20820	10000	10000	3	3	1721695578
6275	59996	59996	7	7	1721695578
4399	49611	49611	11	104	1721695580
21301	99997	99997	7	7	1721695578
13041	149996	149996	3	3	1721695578
29550	799999	799999	2	2	1721695578
4566	30000	30000	1	1	1721695578
40920	202959	202961	20	20	1721695578
44504	9879999	9879999	5	5	1721695578
8318	7330000	7330000	1	1	1721695578
39996	474991	474991	27	27	1721695578
18362	100148	100148	4	4	1721695580
9420	10009185	10009185	3	3	1721695578
41182	1442100	1442100	5	5	1721695578
4603	1597	1598	34	310	1721695581
41540	4917	4918	45	45	1721695580
41491	122499	122499	1	1	1721695578
17037	234740	234740	4	42	1721695578
7085	339994	339994	2	2	1721695578
8838	2696	2730	24	277	1721695578
25007	62632	62632	1	1	1721695578
42462	7792	7938	25	25	1721695580
2912	880000	880000	1	1	1721695580
15232	39952	39952	2	2	1721695580
41599	458122	462117	247	247	1721695578
38438	699999	699999	1	1	1721695578
6786	210000	210000	1	1	1721695578
18253	12220	12220	2	25	1721695578
15248	10000	10000	4	4	1721695581
7286	3029	3029	4	24	1721695578
45758	44953	44953	43	43	1721695578
13109	359999	359999	2	2	1721695578
11994	10000	10000	1	1	1721695578
2840	9594	11260	288	5672	1721695578
12958	102199	102199	8	8	1721695578
5573	14399	14399	1	1	1721695580
31172	8880000	8880000	1	1	1721695578
10713	120000	120000	3	3	1721695578
43011	2086	2086	103	819	1721695581
41447	88884	88884	1	1	1721695578
38866	97998	97998	7	15	1721695578
9781	12200	12200	2	2	1721695578
2458	4387	4387	2	33	1721695578
36275	254000	254000	1	1	1721695578
14805	7776196	7776196	1	1	1721695578
24217	5990000	5990000	1	1	1721695578
31196	289773	289773	2	2	1721695578
5108	54998	54998	2	2	1721695578
2456	3500	3500	1	2	1721695578
8217	152250	152250	2	2	1721695578
23783	131375	139590	21	98	1721695578
11986	40000	40000	2	2	1721695578
36097	50000	50000	1	1	1721695578
9766	10800	10800	2	2	1721695578
11202	209993	209993	4	4	1721695578
43391	50136	50140	22	22	1721695578
6409	9900	9900	3	3	1721695581
4709	14999	14999	1	1	1721695578
25699	1145	1145	12	70	1721695578
4347	60297	60297	2	2	1721695581
14113	30000	30000	1	1	1721695578
12008	12013	12013	1	1	1721695578
18487	1094004	1094004	3	3	1721695578
36863	66660150	66660150	1	1	1721695578
43534	50188	50189	14	14	1721695578
17203	2995000	3197499	9	9	1721695578
36276	320000	320000	1	1	1721695578
10214	80000	80000	1	1	1721695578
38373	1448500	1448631	10	12	1721695578
12055	70000	70000	1	1	1721695578
40105	84304	84304	5	5	1721695581
37746	399999	399999	2	2	1721695578
10236	5000000	5000000	1	1	1721695578
11371	31149	31149	1	10	1721695578
31670	7497	7497	4	61	1721695581
9866	30000	30000	4	4	1721695578
25719	10088	10088	8	167	1721695581
14042	250000	250000	3	3	1721695578
36417	70800	70800	5	5	1721695578
16714	19999	19999	1	1	1721695578
4791	250	250	3	20	1721695578
3199	20000	20000	3	3	1721695578
40558	19460000	19482497	14	14	1721695578
42969	44415	44415	11	11	1721695581
15603	20000	20000	1	1	1721695578
3842	9100	9100	2	2	1721695580
6037	34999	39933	92	655	1721695578
16252	2876875	2876875	2	2	1721695578
13307	669979	669979	5	8	1721695578
22577	1685	1785	67	371	1721695578
14166	18800	18800	3	3	1721695578
6536	20000	20000	2	2	1721695578
31173	141100	141100	1	1	1721695578
24220	5990000	5990000	1	1	1721695578
44669	990000	990000	2	2	1721695578
36281	250000	250000	1	1	1721695578
6889	2984	2985	20	179	1721695578
34758	69994	69994	2	19	1721695578
42178	881020	881020	3	3	1721695578
12037	1033	1042	16	88	1721695581
42414	50110	50113	33	33	1721695578
12994	1149999	1149999	3	3	1721695578
4576	20000	20000	1	1	1721695578
12365	577	692	334	6347	1721695578
15261	30000	30000	3	3	1721695578
8827	3251	3254	80	274	1721695578
10513	4	5	19	17000	1721695578
17021	159691	159691	5	51	1721695578
16676	467312	467312	1	1	1721695578
41394	9993297	9993297	2	2	1721695578
24824	55000	55000	1	1	1721695578
21886	44000	59681	91	141	1721695578
7989	109986	109986	6	6	1721695578
3830	179996	179996	7	7	1721695578
36782	1044	1045	13	112	1721695578
44936	2999999	2999999	13	13	1721695578
14177	10019	10019	1	1	1721695580
2675	6616	6616	10	85	1721695578
10130	99989999	99989999	1	1	1721695578
24274	529023	529023	1	1	1721695578
25063	50000	50000	1	1	1721695578
19262	879997	879997	4	4	1721695578
37290	190100	190100	6	6	1721695578
13465	2094	2095	17	283	1721695578
23592	965386	965386	2	2	1721695578
36267	250000	250000	1	1	1721695578
7290	509998	509998	3	3	1721695580
2164	1490000	1490000	1	1	1721695578
20963	50125	51373	18	200	1721695578
15229	99999	99999	2	2	1721695578
22146	154997	154997	7	7	1721695578
16799	159997	159997	2	2	1721695578
25055	120000	120000	2	2	1721695578
935	378364	378364	1	1	1721695578
18562	1199993	1199994	8	19	1721695578
21991	5738	5739	15	258	1721695578
32905	9696	9696	4	48	1721695578
40059	174152	174153	23	23	1721695578
41985	2888888	2888888	1	1	1721695578
31152	189999	189999	2	2	1721695578
9036	29998	29998	6	7	1721695578
34055	161086	161770	400	2292	1721695581
17026	9951	9951	12	164	1721695578
6533	9992	9994	32	92	1721695578
13062	1500000	1500000	1	1	1721695578
23984	26653	26653	5	61	1721695578
32772	150000	150000	7	7	1721695578
15284	29980	29980	2	2	1721695578
5971	550000	550000	1	1	1721695578
31158	151016	151016	1	1	1721695578
24477	508	509	18	159	1721695578
15238	80000	80000	1	1	1721695581
28104	21924	21974	11	24	1721695578
7067	98753	98753	8	25	1721695578
42400	3330166	3330195	9	9	1721695578
4038	30000	30000	1	1	1721695578
2678	17199	17226	10	132	1721695578
31195	0	0	1	0	1721695578
14496	119998	119998	2	2	1721695578
6596	1500000	1500000	3	3	1721695578
21887	15500	18781	68	1214	1721695578
44685	1505700	1505700	3	3	1721695578
18661	1396749	1396749	5	5	1721695578
13129	2007100	2007100	3	3	1721695578
13084	1054800	1054800	1	1	1721695578
39933	29988	29988	8	8	1721695578
4096	1980	1980	8	38	1721695578
49227	2660000	2660000	3	3	1721695578
31281	500000	500000	1	1	1721695578
43420	8816	8820	25	25	1721695578
23554	3228842	3228842	1	1	1721695578
44275	10009992	10009992	4	4	1721695578
37749	237681	237681	5	5	1721695578
204385	46000	49990	28	32	1721695578
41454	82500	82500	1	1	1721695578
6260	40258	40258	31	305	1721695578
10998	1427	2212	27	95	1721695578
40195	12999	13364	32	248	1721695578
4539	19996	19996	3	4	1721695578
9429	14001676	14001676	1	1	1721695578
11969	10000	10000	1	1	1721695581
5789	301575	301575	4	4	1721695578
9512	643643	643643	1	1	1721695581
2835	398	460	199	3758	1721695578
7370	10000	10000	3	3	1721695581
19257	5499999	5499999	1	1	1721695578
31878	1009997	1009997	4	4	1721695578
25315	100000	100000	1	1	1721695578
14277	22794	22794	1	1	1721695580
43428	10111	10113	43	48	1721695578
14856	7000000	7000000	2	2	1721695578
22926	781231	781231	2	2	1721695580
3306	10000	10000	1	1	1721695578
13016	250000	250000	1	1	1721695578
11610	24987	24987	7	7	1721695578
12828	22374	22374	5	5	1721695578
37755	207798	207798	3	3	1721695581
7407	29999	29999	3	3	1721695578
27664	1825	1825	6	105	1721695578
46377	129994	129997	55	514	1721695578
14047	673	792	441	8011	1721695578
1720	50000	50000	1	1	1721695578
39905	17826	17827	34	34	1721695578
43117	1933	1934	9	141	1721695578
38861	389999	389999	6	6	1721695578
3928	2498	2498	13	53	1721695578
6735	9990000	9990000	1	1	1721695578
39354	12886	12886	17	187	1721695578
4461	491	492	16	97	1721695578
9900	20000	20000	1	1	1721695578
15357	10000	10000	2	2	1721695578
48120	1889995	1889995	2	2	1721695578
5963	299989	299989	7	7	1721695581
