Horde - 埃提耶什_2024_0718_2038.txt
物品ID	最低价格	平均价格	拍卖数量	物品数量	数据更新时间
14971	88879899	88879899	4	4	1721306304
43461	3992292	3992342	8	8	1721306302
45631	980000	980000	1	1	1721306305
24604	490000	490000	1	1	1721306302
14121	29902	29902	1	1	1721306302
6562	31143	31143	1	1	1721306302
11204	32474	32474	7	7	1721306302
19441	1369	1369	9	13	1721306302
4377	21829	25641	57	864	1721306302
3480	21995	21995	4	4	1721306302
9845	4806	4806	1	1	1721306304
3417	6250000	6250000	1	1	1721306302
24170	180000	180000	2	2	1721306302
44066	259997	259997	35	35	1721306302
25654	589900	589900	1	1	1721306304
2728	6541	6541	4	4	1721306302
40672	509987	509987	8	8	1721306302
8492	32248	32249	26	26	1721306302
27668	140	182	20	201	1721306302
2870	1650000	1650000	1	1	1721306302
36657	101521	101521	6	6	1721306302
2585	189900	189900	1	1	1721306302
42739	69990	70027	67	67	1721306302
42101	6006250	6006250	2	2	1721306302
45781	67058	67108	69	69	1721306302
33092	3331	3331	7	74	1721306302
39998	549798	549833	134	134	1721306302
2251	299	471	26	243	1721306302
7915	369900	369900	1	1	1721306302
10408	15300	15300	1	1	1721306302
24246	832	9710	50	1853	1721306302
24889	100000	100000	2	2	1721306302
24830	121600	121600	2	2	1721306302
25071	200000	200000	1	1	1721306302
45769	49307	49315	55	55	1721306302
14530	14549	14549	7	140	1721306302
39974	14400	16777	24	24	1721306302
14179	12280	12280	2	2	1721306302
24401	2297	2646	51	2415	1721306302
10137	300000	300000	1	1	1721306302
36604	220000	220000	1	1	1721306302
8390	992797	992797	4	4	1721306302
39310	418886	423291	14	14	1721306302
15121	25000	25000	1	1	1721306302
44649	1500000	1612500	14	14	1721306302
40914	39987	40078	119	126	1721306302
43537	49671	49678	39	39	1721306302
44269	9280000	9280000	6	6	1721306302
4236	63122	63123	16	189	1721306302
16647	9900	9900	2	2	1721306304
5114	116	116	1	2	1721306302
31197	6980000	6980000	1	1	1721306302
3182	79999	189697	31	61	1721306302
14117	20366	20366	2	2	1721306302
31220	6600000	6600000	2	2	1721306302
22644	4057	4057	8	70	1721306302
20907	10099	10197	63	63	1721306302
41808	900	1002	294	5260	1721306304
7552	45700	45700	2	2	1721306305
36158	120000	120000	2	2	1721306302
36262	207542	207542	1	1	1721306302
10634	19988888	19988888	1	1	1721306302
36320	100000	100000	5	5	1721306302
37673	289895	289896	19	19	1721306304
16681	59972	59972	2	2	1721306305
18232	244500	245731	104	380	1721306302
36069	884605	884605	2	1	1721306302
8402	1589	1589	5	5	1721306302
8304	53600	53600	1	1	1721306302
15305	10927	10927	1	1	1721306305
41809	4849	5760	303	5969	1721306302
40099	99845	99845	47	47	1721306302
25040	450000	450000	1	1	1721306302
20861	9988	9989	3	19	1721306305
36933	59998	63379	273	600	1721306302
41395	259969	259969	33	33	1721306302
44456	71048	72140	196	201	1721306302
25847	107494	107494	3	3	1721306305
38943	4238887	4238887	4	4	1721306302
3824	59999	59999	3	15	1721306304
10034	369898	369898	2	2	1721306305
9893	155000	155000	1	1	1721306305
8191	369900	369900	1	1	1721306302
24603	150000	150000	4	4	1721306302
15770	199997	199997	1	1	1721306302
24610	62800	62800	2	2	1721306304
13121	1999999	1999999	3	3	1721306302
24933	490000	490000	1	1	1721306302
44278	39992	39993	17	17	1721306302
20820	11600	11600	6	6	1721306302
6275	20449	20449	6	6	1721306302
8495	49979	49979	14	14	1721306304
3612	54997	54997	2	2	1721306305
13041	151998	151998	4	4	1721306302
1978	12479892	12479892	2	2	1721306305
25293	124737	124737	2	2	1721306302
24915	104900	104900	1	1	1721306302
4566	10000	10000	1	1	1721306304
40920	49814	49824	42	43	1721306302
24793	56600	56600	1	1	1721306302
44504	5999789	5999789	6	6	1721306304
15573	13140	13140	1	1	1721306302
39996	555388	555423	128	128	1721306302
9301	1999999	1999999	2	2	1721306305
31285	402403	402403	1	1	1721306302
10183	24600	24600	2	2	1721306302
9420	4999186	4999186	3	3	1721306302
41182	669991	669991	2	2	1721306302
2449	4000	5194	105	1501	1721306305
24588	883262	883262	2	2	1721306305
20722	29989999	29989999	1	1	1721306302
24691	700000	700000	4	4	1721306302
32215	694600	694600	9	9	1721306305
6538	29907	29907	2	2	1721306302
44923	63048	63210	49	49	1721306302
8838	8944	8946	43	805	1721306302
13458	1590	1590	1	2	1721306302
13940	89999	99964	33	33	1721306305
2912	885144	885144	2	2	1721306304
24106	2520000	2520000	1	1	1721306302
24749	67734	67734	1	1	1721306304
41599	468123	496482	443	443	1721306302
44441	979998	979998	3	3	1721306304
35966	50000	50000	3	3	1721306302
18253	7099	7099	3	3	1721306302
15248	44029	44029	3	2	1721306302
24252	980000	980000	1	1	1721306302
23774	709995	709995	6	6	1721306302
15772	4500000	4500000	1	1	1721306302
35501	226598	226598	3	3	1721306302
31155	880000	880000	1	1	1721306302
14253	46342	46342	1	1	1721306304
4406	2598	3057	25	71	1721306302
2840	10000	11369	1129	13925	1721306302
