**********************************************
ItemStrings.txt
locale: zhCN
revision: 55586
version: 14
build: 3.4.3
ExportTime: 2024-07-18 19:46:45
Total Items: 14734
**********************************************
    [1, 1]: 38082
    [1, 2]: 3041
    [1, 3]: 6292
    [1, 4]: 6309
    [1, 5]: 6310
    [1, 6]: 13886
    [1, 7]: 13914
    [1, 8]: 3024
    [1, 9]: 3042
    [1, 10]: 47521
    [1, 11]: 102
    [1, 12]: 101
    [1, 13]: 18780
    [1, 14]: 18779
    [1, 15]: 18782
    [1, 16]: 18781
    [1, 17]: 35512
    [1, 18]: 4359
    [1, 19]: 3423
    [1, 20]: 3424
    [1, 21]: 52005
    [1, 22]: 52004
    [1, 23]: 31332
    [1, 24]: 25063
    [1, 25]: 11983
    [1, 26]: 13084
    [1, 27]: 2208
    [1, 28]: 39393
    [1, 29]: 9385
    [1, 30]: 44658
    [1, 31]: 4799
    [1, 32]: 9242
    [1, 33]: 37618
    [1, 34]: 36663
    [1, 35]: 37291
    [1, 36]: 43488
    [1, 37]: 7489
    [1, 38]: 7486
    [1, 39]: 14448
    [1, 40]: 9251
    [1, 41]: 43571
    [1, 42]: 9252
    [1, 43]: 45844
    [1, 44]: 46001
    [1, 45]: 10593
    [1, 46]: 45984
    [1, 47]: 42768
    [1, 48]: 45696
    [1, 49]: 24255
    [1, 50]: 3020
    [1, 51]: 44323
    [1, 52]: 39767
    [1, 53]: 40093
    [1, 54]: 10560
    [1, 55]: 47517
    [1, 56]: 23890
    [1, 57]: 32601
    [1, 58]: 28100
    [1, 59]: 28101
    [1, 60]: 40198
    [1, 61]: 40076
    [1, 62]: 12025:2078
    [1, 63]: 21768:2082
    [1, 64]: 25051:-30
    [1, 65]: 25045:-30
    [1, 66]: 36427:-30
    [1, 67]: 20826:2072
    [1, 68]: 20964:2077
    [1, 69]: 25296
    [1, 70]: 18333
    [1, 71]: 19403
    [1, 72]: 44167
    [1, 73]: 44928
    [1, 74]: 18660
    [1, 75]: 2080
    [1, 76]: 2951
    [1, 77]: 38459
    [1, 78]: 15964
    [1, 79]: 14417
    [1, 80]: 14425
    [1, 81]: 4291
    [1, 82]: 4306
    [1, 83]: 4305
    [1, 84]: 4245
    [1, 85]: 41985
    [1, 86]: 7050
    [1, 87]: 6450
    [1, 88]: 4326
    [1, 89]: 45453
    [1, 90]: 40328
    [1, 91]: 50632
    [1, 92]: 11362
    [1, 93]: 4232
    [1, 94]: 2319
    [1, 95]: 39568
    [1, 96]: 16084
    [1, 97]: 16072
    [1, 98]: 16083
    [1, 99]: 9253
    [1, 100]: 43478
    [1, 101]: 20009
    [1, 102]: 39197
    [1, 103]: 39404
    [1, 104]: 6412
    [1, 105]: 1988
    [1, 106]: 6411
    [1, 107]: 4079
    [1, 108]: 4727
    [1, 109]: 27413
    [1, 110]: 15487
    [1, 111]: 15485
    [1, 112]: 8196
    [1, 113]: 3186
    [1, 114]: 8270
    [1, 115]: 8269
    [1, 116]: 8267
    [1, 117]: 8272
    [1, 118]: 8266
    [1, 119]: 2933
    [1, 120]: 11302
    [1, 121]: 13077
    [1, 122]: 45463
    [1, 123]: 27740
    [1, 124]: 41593
    [1, 125]: 42111
    [1, 126]: 42101
    [1, 127]: 10265
    [1, 128]: 10266
    [1, 129]: 36480
    [1, 130]: 43108
    [1, 131]: 27409
    [1, 132]: 32768
    [1, 133]: 28494
    [1, 134]: 25297
    [1, 135]: 873
    [1, 136]: 44309
    [1, 137]: 40694
    [1, 138]: 43431
    [1, 139]: 40723
    [1, 140]: 17682
    [1, 141]: 17683
    [1, 142]: 22146
    [1, 143]: 42916
    [1, 144]: 37101
    [1, 145]: 35588
    [1, 146]: 720
    [1, 147]: 6125
    [1, 148]: 209827
    [1, 149]: 209796
    [1, 150]: 209697
    [1, 151]: 209663
    [1, 152]: 209627
    [1, 153]: 209529
    [1, 154]: 209639
    [1, 155]: 209518
    [1, 156]: 209652
    [1, 157]: 209515
    [1, 158]: 209599
    [1, 159]: 209602
    [1, 160]: 209696
    [1, 161]: 209664
    [1, 162]: 209517
    [1, 163]: 209519
    [1, 164]: 209516
    [1, 165]: 209521
    [1, 166]: 209522
    [1, 167]: 209662
    [1, 168]: 210135
    [1, 169]: 209780
    [1, 170]: 209584
    [1, 171]: 209586
    [1, 172]: 209646
    [1, 173]: 209558
    [1, 174]: 209557
    [1, 175]: 40431
    [1, 176]: 13003
    [1, 177]: 40195
    [1, 178]: 50731
    [1, 179]: 14555
    [1, 180]: 4238
    [1, 181]: 2589
    [1, 182]: 2996
    [1, 183]: 2570
    [1, 184]: 1251
    [1, 185]: 7026
    [1, 186]: 2569
    [1, 187]: 2241
    [1, 188]: 39399
    [1, 189]: 39344
    [1, 190]: 2277
    [1, 191]: 7972
    [1, 192]: 1979
    [1, 193]: 47236
    [1, 194]: 40382
    [1, 195]: 43673
    [1, 196]: 6685
    [1, 197]: 10131
    [1, 198]: 43469
    [1, 199]: 36391
    [1, 200]: 10132
    [1, 201]: 10129
    [1, 202]: 36390
    [1, 203]: 36389
    [1, 204]: 36393
    [1, 205]: 10134
    [1, 206]: 10127
    [1, 207]: 36394
    [1, 208]: 10133
    [1, 209]: 36392
    [1, 210]: 10130
